Time,Energy 1,Energy 2,Total,Scatterer,Absorber
35167644,396.362814,289.950828,686.313642,3,7
35201610,253.672739,356.512710,610.185449,4,6
35249922,281.264954,350.387198,631.652152,1,5
35421850,256.713553,435.501765,692.215318,1,6
35471098,257.175952,345.817034,602.992986,4,6
35475429,226.957022,449.898690,676.855711,1,5
35538082,265.155224,364.806587,629.961811,3,6
35707982,407.919157,328.518002,736.437159,1,6
35782910,282.152757,409.973722,692.126478,3,6
35984846,220.124785,423.738715,643.863500,3,7
36309293,229.860333,447.103797,676.964130,2,7
36729491,302.931902,326.698930,629.630832,2,5
36730049,285.614633,393.011588,678.626221,2,5
36818630,234.236154,455.307170,689.543324,3,8
37074392,512.216274,144.447225,656.663499,2,6
37082311,238.800973,409.858202,648.659176,1,5
37139171,267.121742,382.406062,649.527803,1,8
37184462,325.193494,335.127105,660.320599,3,7
37615301,208.963765,470.613654,679.577420,3,8
37732865,189.502781,537.382038,726.884819,1,6
38052940,209.976279,424.562132,634.538411,4,5
38221395,255.880167,394.171874,650.052041,2,7
38306568,250.381090,433.721038,684.102128,3,8
38547770,252.179665,426.420655,678.600320,4,6
38648971,155.918971,484.961833,640.880804,2,7
38717855,235.053425,418.616767,653.670192,2,7
38855115,244.719330,430.870807,675.590137,2,6
38912376,229.205083,431.030963,660.236046,3,7
39031336,249.955864,359.157118,609.112982,4,7
39213935,229.196630,447.433781,676.630410,2,7
39332049,230.917724,406.489013,637.406736,1,5
39409430,270.292506,445.782356,716.074862,2,7
39439152,292.681910,402.851934,695.533844,1,7
39773975,222.546196,441.321401,663.867597,2,6
39869017,239.831262,411.983508,651.814770,4,8
39997608,216.855928,423.869628,640.725556,1,5
40095328,249.329210,512.479203,761.808413,2,6
40158477,258.153169,399.545793,657.698963,1,7
40263474,272.928419,384.007883,656.936302,2,6
40386385,465.577442,175.880053,641.457495,3,6
40641161,263.349099,446.559757,709.908856,1,6
40723903,296.059439,399.725272,695.784711,4,7
40887334,225.751175,445.492119,671.243294,3,8
40897018,216.962092,452.935564,669.897656,2,8
